Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Make-Ahead Instant Pot Grilled Ribs,"peppercorns, seeds, flakes, sugar, salt, cinnamon, sections, wine, grill), vinegar, crushed, leaves, cooker",Yes,sugar,Sugar Allergy / Intolerance
Halloumi and Sweet Potato Burgers,"cubed, shredded, frying, chopped, crushed, diced, chopped, flour, seeds, sliced, buns, mashed, pepper, jam, serve",No,,
Mai Tai Rum Babas,"greasing, milk, cubed, flour, sugar, yeast, salt, beaten, orange, limes, sugar, orange, limes, rum, rum, serve, serve, bag",Yes,"milk, orange, sugar","Milk allergy / Lactose intolerance, Citrus Allergy, Sugar Allergy / Intolerance"
Korean-Style Grilled Wings with Cucumber-Kimchi Salad,"juice, tamari, flakes, oil, piece), sugar, chopped, separated, divided, sliced, sliced, vinegar, divided, serving)",Yes,sugar,Sugar Allergy / Intolerance
White Peach and Bourbon Vanilla Ice-Cream,"water, sugar, (1.2kg), milk, half-and-half, extract, yolks, extra, bourbon, (65g), serve",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Second City Diner Veggie Burger,"water, chopped, chopped, sauce, powder, powder, pepper, quick-cooking), chopped, flour",No,,
Pop It Like It's Hot Popcorn,"kernels, oil, salt, cinnamon, sugar, zest, chives, yeast, cayenne, butter, first), chips, pistachios, raisins",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Grilled Chicken Caesar Sandwiches,"mustard, sauce, grated, juice, more, grill, mayonnaise, 9), salt, total), split, chopped, leaves, large",No,,
Cherry Biscuit Cobbler,"sugar, powder, zest, salt, surface, pieces, cream, pitted, sugar, juice, cornstarch, cinnamon, extract, extract, salt, cooled, sugar, serving), cutter",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Grilled Summer Squash and Red Onion with Feta,"grill, grated, vinegar, thick, wedges, leaves, pepper, pieces, crosswise, flakes",No,,
Corn Cacio e Pepe,"pasta, salt, ears), serving, pepper, serving",No,,
Spicy Chicken Lettuce Wraps,"sauce, sugar, sauce, serving, oil, sliced, chopped, chicken, salt, leaves, wedges, serving)",Yes,"chicken, sugar","Poultry Allergy, Sugar Allergy / Intolerance"
Magic Crispy Chicken,"yolk, mayonnaise, mustard, more, pepper, large), oil, breadcrumbs), honey, chives, pepper",Yes,honey,Honey Allergy
Grilled Chicken with Lemon and Thyme,"grill, lb.), pepper, lemons, crushed, thyme, olives",No,,
Chicken Under a Brick in a Hurry,"lb.), more, pepper, divided, chopped, grated, parsley, vinegar, mustard, flakes, scallions, only, sliced",Yes,parsley,Hypersensitivity
Chicken Thighs with Crunchy Summer Veg,"total), oil, salt, seeds, seeds, pieces, sliced, sliced, thick, vinegar, serving)",No,,
Soy SauceMarinated Grilled Flank Steak and Scallions,"grill, steak, pepper, trimmed, wine), sauce, sugar, vinegar, Sriracha, oil, serving)",Yes,sugar,Sugar Allergy / Intolerance
Jalapeo-Marinated Grilled Pork Chops,"grill, each), pepper, seeds, vinegar, sugar, jalapeos, onion, sliced",Yes,"onion, sugar","Allium Allergy, Sugar Allergy / Intolerance"
Grilled Swordfish with Tomatoes and Oregano,"grill, nuts, thick, pepper, vinegar, chopped, serving, honey, tomatoes, halved, sliced",Yes,honey,Honey Allergy
Grilled Shrimp with Turmeric Mojo Sauce,"smashed, chopped, sliced, juice, juice, sugar, vinegar, turmeric, grill, salt, deveined, optional), salt",Yes,sugar,Sugar Allergy / Intolerance
"Grilled Scallops with Nori, Ginger, and Lime","mayonnaise, juice, salt, sheet, coriander, ginger, grill, dry, lime, sliced, powder), skewers, hour",Yes,"ginger, lime","Histamine Allergy, Citrus Allergy"
Grilled Salt-and-Pepper Black Bass with Curry Verde,"grill, powder, chopped, grated, grated, stems, divided, salt, cleaned, diagonal, pepper, serving), salt",No,,
Garlicky Grilled Squid with Marinated Peppers,"almonds, divided, salt, peppers, vinegar, paprika, divided, separated, sliced, large, lemon",Yes,lemon,Citrus Allergy
Crispy-Skinned Salmon with Whole LemonSesame Sauce,"dry, grill, salt, lemon, chopped, seeds, honey, oil, pepper, leaves, large",Yes,"honey, lemon","Honey Allergy, Citrus Allergy"
Clams with Spicy Tomato Broth and Garlic Mayo,"lemon, sliced, mayonnaise, salt, oil, sliced, flakes, paste, tomatoes, wine, scrubbed, pieces, chives, bread",Yes,lemon,Citrus Allergy
Tomato-Watermelon Salad with Turmeric Oil,"oil, peppercorns, seeds, seeds, turmeric, cups), pieces, pieces, salt",No,,
Honeydew Salad with Ginger Dressing and Peanuts,"vinegar, sauce, piece), sugar, sliced, crosswise, thick, sliced, leaves, chopped, salt",Yes,sugar,Sugar Allergy / Intolerance
Cantaloupe with Sugar Snap Peas and Ricotta Salata,"lb.), diagonal, mandoline, leaves, oil, wedges, salt, serving)",No,,
Saucy Beans and Artichoke Hearts with Feta,"drizzling, chopped, grater, grated, paste, serving, serving, salt, lengthwise, drained, oz.)",No,,
Stone Fruit Clafoutis,"butter, eggs, milk, zest, salt, extract, sugar, flour, apricots, optional)",Yes,"butter, eggs, milk, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Panchos Argentinos (Argentine-Style Hot Dogs),"cup), cup), cup), oil, vinegar, lemon, pepper, Applegate), serving), split, serving)",Yes,lemon,Citrus Allergy
Skillet Cornbread With Bacon Fat and Brown Sugar,"cornmeal, powder, salt, eggs, buttermilk, sugar, lard",Yes,"buttermilk, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Spicy Egg Sandwich with Sausage and Pickled Peppers,"removed, butter, eggs, salt, (optional), toasted, muffins), sliced, oz.), stems, muffins)",Yes,"butter, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
"Spaghetti with Tuna, Tomatoes, and Olives","halved, drained, ounces), parsley, pepper, taste, taste, spaghetti, juice",Yes,parsley,Hypersensitivity
Zucchini Noodles with Anchovy Butter,"butter, fillets, cups), Parmesan, flakes",Yes,butter,Milk allergy / Lactose intolerance
Cold Soba Noodles with Miso and Smoked Tofu,"ginger, paste, taste, taste, taste, taste, noodles, sliced, sliced, tofu, cubed",Yes,ginger,Histamine Allergy
Spicy Salmon Teriyaki with Steamed Bok Choy,"vinegar, tamari, oelek), honey, strips, more, cornstarch, oil, quartered, optional), diagonal, seeds",Yes,honey,Honey Allergy
Grilled Steak With Peas and Eggplant Over Whipped Ricotta,"ricotta, zest, drizzling, divided, dry, more, spears, removed, salt, leaves, (optional), serving)",No,,
Country-Style Ribs with Quick-Pickled Watermelon,"sugar, sauce, vinegar, sliced, minced, piece), leaves, oelek), oil, pepper, sliced, chops, powder, seeds, vinegar, juice, shallot, honey, oil, pepper, watermelon), halved, garnish",Yes,"honey, shallot, sugar","Honey Allergy, Allium Allergy, Sugar Allergy / Intolerance"
Halloumi Puff Pastry Twists,"sheets), dusting, halloumi, Parmesan, snipped, beaten, pepper",No,,
Loaded Halloumi Flatbreads,"fingers, wraps, hummus, harissa, shredded, grated, grated, chopped, drained, chopped, orange, oil, diced, ginger, seeds, seeds, yogurt, pepper",Yes,"ginger, orange, yogurt","Histamine Allergy, Citrus Allergy, Milk allergy / Lactose intolerance"
"Beet ""Poke"" Bowl","dice, water, vinegar, sugar, salt, peppercorns, minced, sauce, oil, dice, Vidalia, rice, store), note), scallions, only, sliced",Yes,"rice, sugar","Rice Allergy, Sugar Allergy / Intolerance"
Squash Blossom Cheeseadilla,"vinegar, salt, taste, oil, cup), cleaned, leaves, salt, (optional)",No,,
Mango Slushie,"slices, time, lime, kombucha, liquid",Yes,lime,Citrus Allergy
Cucumber-Seaweed Salad,"pieces, diced, vinegar, aminos, oil, lemon, grated, salt",Yes,lemon,Citrus Allergy
Double-Fried Chicken Wings,"note), pepper, flour, cornstarch",No,,
Spiced Lamb Burgers with Spring Slaw,"yogurt, oil, zest, salt, grated, paprika, pepper, divided, divided, lamb, oil, ribbons, diagonal, sliced, juice, rolls, toasted",Yes,yogurt,Milk allergy / Lactose intolerance
Spring Greens and Leek Gratin,"butter, sliced, sliced), chopped, chopped, coriander, salt, pepper, lemon, cream, Parmesan, bread), oil",Yes,"butter, cream, lemon","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Citrus Allergy"
Big-Batch Instant Pot White Beans,"rinsed, crushed, oil, salt, (optional), cooker",No,,
Grilled Greens and Cheese on Toast,"drizzling, removed, more, pepper, tomatoes, planks, crosswise, bread, halved, skewers",No,,
Old-School Tiramis,"pan), cooled, rum, salt, sugar, cream, mascarpone, yolks, ladyfingers, dusting)",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Grilled Chicken Skewers With Toum (Shish Taouk),"cloves, note), juice, oil, juice, paste, coriander, grill, thighs, warmed, skewers",No,,
Easiest Chicken Adobo,"oil, thighs, drumsticks, crosswise, leaves, vinegar, sauce, sugar, divided, pepper, serving)",Yes,sugar,Sugar Allergy / Intolerance
Chicken with Lemon and Spicy Spring Onions,"lemon, chickens, pepper, quartered, divided, grated, oil, butter, bread, stems, serving)",Yes,"butter, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Ginger-Grilled Chicken and Radishes with Miso-Scallion Dressing,"thighs, more, beer, grated, divided, piece), miso, grill, chopped, lengthwise, pepper, hearts, separated",No,,
Chicken Piccata,"breasts, salt, flour, divided, smashed, wine, chopped, pieces, juice, serving)",No,,
Sumac-Rubbed Lamb with Minty Artichokes,"lamb, serving, Tbsp, more, crosswise, lengthwise, serving, wine, oil, divided, sliced, rings, vinegar, seeds, Aioli, labneh, serving)",No,,
Steak and Spring Vegetable Stir-Fry,"steak, cornstarch, divided, divided, pieces, removed, crosswise, divided, sauce, wine), vinegar, salt, serving)",No,,
Crispy-Skin Salmon with Miso-Honey Sauce,"grated, miso, honey, vinegar, oil, seeds, fillets, salt, sliced, rice, serving",Yes,"honey, rice","Honey Allergy, Rice Allergy"
Spicy Pork Bowls with Greens,"tenderloin, oelek, sugar, grated, grated, divided, divided, divided, salt, sliced, sliced, vinegar, rice, scallions, serving)",Yes,"rice, sugar","Rice Allergy, Sugar Allergy / Intolerance"
Butter-Roasted Halibut with Asparagus and Olives,"divided, butter, divided, pepper, fillet, pepper, trimmed, torn, chives, juice, serving, serving)",Yes,butter,Milk allergy / Lactose intolerance
Shrimp and Basil Stir-Fry,"chopped, smashed, sugar, sauce, salt, divided, deveined, bunch), serving)",Yes,sugar,Sugar Allergy / Intolerance
Strawberry-Granola Crisp,"large, sugar, juice, cornstarch, salt, oil, syrup, oats, almonds, coconut, flour, yogurt, cream, optional)",Yes,"cream, sugar, yogurt","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Muhammara,"walnuts, peppers, breadcrumbs, oil, flakes, tahini, juice, paprika, drizzling, salt",No,,
Crispy Pita with Chickpeas and Yogurt (Fattet Hummus),"divided, rinsed, oil, salt, pieces, Greek), juice, butter, cashews, optional)",Yes,butter,Milk allergy / Lactose intolerance
Cabbage Tabbouleh,"quick-cooking), cups), sliced, parsley, large, allspice, oil, juice, salt, (optional)",Yes,parsley,Hypersensitivity
Tomato Salad with Pine Nuts and Pomegranate Molasses,"raisins, vinegar, nuts, whole, sliced, oil, large, molasses, salt",No,,
Smoky Eggplant Dip (Eggplant Moutabal),"total), tahini, juice, drizzling, salt, serving)",No,,
Seven-Spice Grilled Lamb Chops with Parsley Salad,"Greek), pepper, coriander, cumin, paprika, cardamom, cinnamon, nutmeg, dry, salt, sliced, parsley, juice, sumac",Yes,parsley,Hypersensitivity
One-of-Each Soup,"chopped, chopped, cup), chopped, chopped, broth, cream, butter, powder, salt, chives",Yes,"butter, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Almond Cookies,"almonds, sugar, butter, flour",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Noodle Soup,"chicken broth, salt",No,,
Cheddar Cheese,"cheese, salt",Yes,cheese,Milk allergy / Lactose intolerance
Ranch Dressing,"buttermilk, sugar, vegetable oil, garlic, herbs",Yes,"buttermilk, garlic, sugar, vegetable oil","Milk allergy / Lactose intolerance, Allium Allergy, Sugar Allergy / Intolerance, Unknown"
Caramel Popcorn,"popcorn, sugar, butter, salt",Yes,"butter, popcorn, sugar","Milk allergy / Lactose intolerance, Corn Allergy, Sugar Allergy / Intolerance"
Caesar Salad,"romaine lettuce, olive oil, parmesan cheese",Yes,olive oil,Unknown
Caesar Wrap,"grilled chicken, caesar dressing, lettuce, parmesan cheese",Yes,lettuce,LTP Allergy
Strawberry Smoothie,"strawberries, honey, yogurt (milk, cultures)",Yes,honey,Honey Allergy
Cheese Pizza,"cheese, tomato sauce",Yes,cheese,Milk allergy / Lactose intolerance
Margherita Pizza,"cheese, tomato sauce, basil",Yes,cheese,Milk allergy / Lactose intolerance
Mashed Potatoes,"potatoes, butter, salt, pepper",Yes,butter,Milk allergy / Lactose intolerance
Greek Yogurt,"yogurt (milk, cultures)",No,,
Caesar Salad Wrap,"grilled chicken, caesar dressing, lettuce, parmesan cheese",Yes,lettuce,LTP Allergy
Caprese Salad,"tomatoes, olive oil, mozzarella cheese, basil",Yes,olive oil,Unknown
Berry Smoothie,"mixed berries, sugar, yogurt (milk, cultures)",Yes,sugar,Sugar Allergy / Intolerance
Caesar Salad,"romaine lettuce, olive oil, caesar dressing",Yes,olive oil,Unknown
Berry Parfait,"mixed berries, sugar, yogurt (milk, cultures), granola",Yes,sugar,Sugar Allergy / Intolerance
Chicken Alfredo,"chicken, butter, cream, parmesan cheese",Yes,"butter, chicken, cream","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance"
Pesto Pizza,"pesto sauce, mozzarella cheese, basil",No,,
Beef Stroganoff,"beef, sour cream, mushroom, onion",Yes,"onion, sour cream","Allium Allergy, Milk allergy / Lactose intolerance"
Banana Smoothie,"bananas, honey, yogurt (milk, cultures)",Yes,honey,Honey Allergy
Watermelon Salad,"watermelon, feta cheese, mint",No,,
Chicken Parmesan,"chicken, bread crumbs, parmesan cheese, marinara sauce",Yes,chicken,Poultry Allergy
Mango Lassi,"mango, sugar, yogurt (milk, cultures), cardamom",Yes,"mango, sugar","Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Greek Salad,"cucumbers, olive oil, feta cheese, olives",Yes,olive oil,Unknown
Butternut Squash Soup,"butternut squash, butter, vegetable broth",Yes,butter,Milk allergy / Lactose intolerance
Margherita Pasta,"pasta, olive oil, fresh tomatoes, mozzarella",Yes,olive oil,Unknown
Greek Gyro Wrap,"lamb, tzatziki sauce, tomatoes, onions",No,,
Spinach and Feta Stuffed Chicken,"chicken, olive oil, spinach, feta cheese",Yes,"chicken, olive oil, spinach","Poultry Allergy, Unknown, Histamine Allergy"
Chicken Fettuccine Alfredo,"chicken, butter, cream, parmesan cheese",Yes,"butter, chicken, cream","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance"
Caprese Sandwich,"tomatoes, olive oil, mozzarella cheese, basil",Yes,olive oil,Unknown
Mushroom Risotto,"mushrooms, butter, arborio rice, parmesan cheese",Yes,butter,Milk allergy / Lactose intolerance
Greek Yogurt Parfait,"greek yogurt, honey, granola, mixed berries",Yes,honey,Honey Allergy
Eggplant Parmesan,"eggplant, olive oil, marinara sauce, cheese",Yes,"cheese, olive oil","Milk allergy / Lactose intolerance, Unknown"
Banana Pudding,"bananas, sugar, milk, vanilla pudding mix, cookies",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Margherita Pizza,"pizza dough, olive oil, mozzarella cheese, tomatoes, basil",Yes,olive oil,Unknown
Chicken Caesar Wrap,"chicken, caesar dressing, romaine lettuce, parmesan cheese",Yes,chicken,Poultry Allergy
Greek Spanakopita,"spinach, olive oil, feta cheese, phyllo dough",Yes,"olive oil, spinach","Unknown, Histamine Allergy"
Mushroom Soup,"mushrooms, butter, vegetable broth",Yes,butter,Milk allergy / Lactose intolerance
Greek Yogurt,"yogurt (milk, cultures), honey",Yes,honey,Honey Allergy
Spinach Artichoke Dip,"spinach, cream cheese, sour cream, parmesan cheese, garlic",Yes,"garlic, sour cream, spinach","Allium Allergy, Milk allergy / Lactose intolerance, Histamine Allergy"
Chocolate Mousse,"chocolate, sugar, heavy cream, vanilla extract",Yes,sugar,Sugar Allergy / Intolerance
Stuffed Portobello Mushrooms,"portobello mushrooms, cheese, breadcrumbs",Yes,cheese,Milk allergy / Lactose intolerance
Tandoori Chicken,"chicken, yogurt, tandoori spices",Yes,"chicken, yogurt","Poultry Allergy, Milk allergy / Lactose intolerance"
Beef Stroganoff,"beef, sour cream, mushrooms, onions",Yes,sour cream,Milk allergy / Lactose intolerance
Strawberry Smoothie,"strawberries, sugar, yogurt, milk",Yes,"milk, sugar, yogurt","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Baked Garlic Parmesan Chicken,"chicken, butter, parmesan cheese, garlic",Yes,"butter, chicken, garlic","Milk allergy / Lactose intolerance, Poultry Allergy, Allium Allergy"
Mushroom and Goat Cheese Flatbread,"mushrooms, olive oil, goat cheese, herbs",Yes,olive oil,Unknown
Margherita Pasta,"pasta, olive oil, mozzarella cheese, tomatoes, basil",Yes,olive oil,Unknown
Pumpkin Soup,"pumpkin, butter, nutmeg, cream",Yes,"butter, cream, pumpkin","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Unknown"
Butternut Squash Soup,"butternut squash, butter, nutmeg, cream",Yes,"butter, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Caprese Skewers,"tomatoes, olive oil, mozzarella cheese, basil",Yes,olive oil,Unknown
Chicken Piccata,"chicken, butter, lemon, capers",Yes,"butter, chicken, lemon","Milk allergy / Lactose intolerance, Poultry Allergy, Citrus Allergy"
Berry Parfait,"berries, honey, yogurt, granola",Yes,"honey, yogurt","Honey Allergy, Milk allergy / Lactose intolerance"
Stuffed Mushrooms,"mushrooms, cheese, breadcrumbs",Yes,cheese,Milk allergy / Lactose intolerance
Butter Chicken,"chicken, sugar, butter, tomato sauce, cream",Yes,"butter, chicken, cream, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Palak Paneer,"spinach, ghee, paneer, spices",Yes,spinach,Histamine Allergy
Rogan Josh,"lamb, ghee, yogurt, kashmiri red chili",Yes,yogurt,Milk allergy / Lactose intolerance
Paneer Tikka,"paneer, oil, tikka masala, spices",No,,
Dal Makhani,"lentils, ghee, cream, spices",Yes,cream,Milk allergy / Lactose intolerance
Malai Kofta,"cottage cheese, ghee, creamy tomato sauce",No,,
Chicken Tikka Masala,"chicken, sugar, ghee, tomato sauce, cream",Yes,"chicken, cream, sugar","Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Gulab Jamun,"milk solids, sugar, ghee, cardamom syrup",Yes,sugar,Sugar Allergy / Intolerance
Chicken Korma,"chicken, ghee, creamy sauce, spices",Yes,chicken,Poultry Allergy
Malai Chicken Tikka,"chicken, cream, spices",Yes,"chicken, cream","Poultry Allergy, Milk allergy / Lactose intolerance"
Dahi Vada,"lentil dumplings, yogurt, tamarind chutney, spices",Yes,yogurt,Milk allergy / Lactose intolerance
Chicken Malai Tikka,"chicken, cream, spices",Yes,"chicken, cream","Poultry Allergy, Milk allergy / Lactose intolerance"
Matar Paneer,"paneer, ghee, peas, spices",Yes,"peas, peas","Legume Allergy, Legume Allergy"
Rasgulla,"paneer, sugar, rose water, syrup",Yes,sugar,Sugar Allergy / Intolerance
Rabri,"milk, sugar, ghee, cardamom, nuts",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Kheer,"rice, sugar, ghee, cardamom, nuts",Yes,"rice, sugar","Rice Allergy, Sugar Allergy / Intolerance"
Rasmalai,"paneer, sugar, milk, ghee, cardamom, nuts",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Chicken Caesar Salad,"chicken breast, olive oil, parmesan cheese",Yes,olive oil,Unknown
Quiche Lorraine,"bacon, heavy cream, cheese, eggs",Yes,"cheese, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Chicken Tikka Masala,"chicken, ghee, tikka masala sauce",Yes,chicken,Poultry Allergy
Sweet Potato Casserole,"sweet potatoes, brown sugar, butter, cinnamon, nutmeg",Yes,butter,Milk allergy / Lactose intolerance
Baked Brie,"brie cheese, herbs, nuts",No,,
French Onion Soup,"onions, butter, beef broth, cheese, bread",Yes,"butter, cheese","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Greek Gyro,"lamb/chicken, tzatziki sauce, vegetables",No,,
Omelette,"eggs, butter, salt, pepper",Yes,"butter, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Egg Salad,"eggs, mayonnaise, celery, onion",Yes,"celery, eggs, onion","Hypersensitivity, Poultry Allergy, Allium Allergy"
Quiche,"eggs, cheese, vegetables",Yes,"cheese, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Egg Salad Sandwich,"eggs, mayonnaise, celery, mustard",Yes,"celery, eggs","Hypersensitivity, Poultry Allergy"
Egg Fried Rice,"eggs, sesame oil, soy sauce",Yes,eggs,Poultry Allergy
Fish Sticks,"fish fillets, vegetable oil, salt",Yes,vegetable oil,Unknown
Baked Salmon,"salmon fillet, olive oil, lemon, herbs",Yes,"lemon, olive oil","Citrus Allergy, Unknown"
Teriyaki Salmon,"salmon, vegetable oil, teriyaki sauce",Yes,"salmon, vegetable oil","Fish Allergy, Unknown"
Baked Salmon,"salmon, olive oil, lemon, herbs",Yes,"lemon, olive oil, salmon","Citrus Allergy, Unknown, Fish Allergy"
Lemon Dill Salmon,"salmon, olive oil, lemon, dill",Yes,"lemon, olive oil, salmon","Citrus Allergy, Unknown, Fish Allergy"
Malabar Fish Curry,"fish, coconut oil, tamarind, spices",Yes,coconut oil,Unknown
Baked Cod,"cod, butter, lemon, herbs",Yes,"butter, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Tuna Sandwich,"tuna, mayonnaise, salt, pepper",Yes,tuna,Fish Allergy
Tuna Salad,"tuna, mayonnaise, celery, onion",Yes,"celery, onion, tuna","Hypersensitivity, Allium Allergy, Fish Allergy"
Sushi,"fish (salmon, tuna), rice vinegar, sesame oil, soy sauce",No,,
Teriyaki Salmon,"salmon fillet, sugar, soy sauce, ginger, garlic",Yes,"garlic, ginger, sugar","Allium Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Sushi Bowl,"sushi rice, soy sauce, raw fish, vegetables",No,,
Honey Soy Glazed Salmon,"salmon, honey, soy sauce, garlic, ginger",Yes,"garlic, ginger, honey, salmon","Allium Allergy, Histamine Allergy, Honey Allergy, Fish Allergy"
Milk Chocolate,"sugar, cocoa butter, milk powder, vanilla extract",Yes,sugar,Sugar Allergy / Intolerance
Vanilla Ice Cream,"milk, sugar, cream, vanilla extract",Yes,"cream, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Vanilla Yogurt,"yogurt (milk, cultures), sugar, vanilla extract",Yes,sugar,Sugar Allergy / Intolerance
Strawberry Yogurt,"yogurt (milk, cultures), sugar, pectin",Yes,sugar,Sugar Allergy / Intolerance
Tomato Soup,"tomatoes, salt, sugar",Yes,sugar,Sugar Allergy / Intolerance
Apple,apples,No,,
Orange Juice,"oranges, sugar",Yes,sugar,Sugar Allergy / Intolerance
Greek Salad,"cucumber, olive oil, lemon juice",Yes,"cucumber, olive oil","Unknown, Unknown"
Spaghetti Bolognese,"ground beef, sugar, olive oil, tomato sauce",Yes,"olive oil, sugar","Unknown, Sugar Allergy / Intolerance"
Honey Mustard Chicken,"chicken breast, honey, mustard, vegetable oil",Yes,"honey, vegetable oil","Honey Allergy, Unknown"
BBQ Ribs,"pork ribs, brown sugar, vegetable oil, bbq sauce",Yes,vegetable oil,Unknown
Quinoa Salad,"quinoa, olive oil, lemon juice, herbs",Yes,olive oil,Unknown
Vegetable Stir-Fry,"mixed vegetables, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Beef Burger,"ground beef, vegetable oil, salt, pepper",Yes,vegetable oil,Unknown
French Fries,"potatoes, vegetable oil, salt",Yes,vegetable oil,Unknown
Lemonade,"lemon juice, sugar, water",Yes,sugar,Sugar Allergy / Intolerance
Gazpacho,"tomatoes, olive oil, garlic, herbs",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Beef Tacos,"ground beef, vegetable oil, taco seasoning",Yes,vegetable oil,Unknown
Lentil Soup,"lentils, olive oil, vegetables",Yes,olive oil,Unknown
Chicken Curry,"chicken, vegetable oil, curry powder",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Ratatouille,"eggplant, olive oil, tomatoes",Yes,olive oil,Unknown
Pesto Pasta,"pasta, olive oil, basil, garlic",Yes,"garlic, olive oil","Allium Allergy, Unknown"
Chicken Stir-Fry,"chicken, vegetable oil, soy sauce",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Veggie Burger,"mixed vegetables, vegetable oil, seasonings",Yes,vegetable oil,Unknown
Vegetable Soup,"mixed vegetables, olive oil, seasonings",Yes,olive oil,Unknown
Spinach Salad,"spinach, olive oil, balsamic vinegar",Yes,"olive oil, spinach","Unknown, Histamine Allergy"
Chicken Enchiladas,"chicken, vegetable oil, enchilada sauce",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Minestrone Soup,"vegetables, olive oil, tomato broth",Yes,olive oil,Unknown
Salsa,"tomatoes, onion, cilantro",Yes,onion,Allium Allergy
Lemon Garlic Chicken,"chicken, olive oil, lemon juice, garlic",Yes,"chicken, garlic, olive oil","Poultry Allergy, Allium Allergy, Unknown"
Pancetta Pasta,"pasta, pancetta, garlic, herbs",Yes,garlic,Allium Allergy
Chicken Teriyaki,"chicken, vegetable oil, teriyaki sauce",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Spinach Stuffed Chicken,"chicken, olive oil, spinach, garlic",Yes,"chicken, garlic, olive oil, spinach","Poultry Allergy, Allium Allergy, Unknown, Histamine Allergy"
Coconut Curry,"chicken, coconut milk, curry paste",Yes,chicken,Poultry Allergy
Apple Cider,"apples, sugar, cinnamon",Yes,sugar,Sugar Allergy / Intolerance
Ratatouille,"eggplant, olive oil, tomatoes, zucchini",Yes,olive oil,Unknown
Avocado Toast,"avocado, olive oil, salt, pepper",Yes,"avocado, olive oil","Oral Allergy Syndrome, Unknown"
Beef Stir-Fry,"beef, vegetable oil, soy sauce",Yes,vegetable oil,Unknown
Black Bean Soup,"black beans, olive oil, vegetables",Yes,olive oil,Unknown
Cucumber Salad,"cucumber, olive oil, lemon juice, dill",Yes,"cucumber, olive oil","Unknown, Unknown"
Fruit Salad,"mixed fruits, sugar, lemon juice",Yes,sugar,Sugar Allergy / Intolerance
Sausage Pizza,"sausage, mozzarella cheese",No,,
Chicken Fajitas,"chicken, vegetable oil, fajita seasoning",Yes,"chicken, vegetable oil","Poultry Allergy, Unknown"
Mango Salsa,"mango, red onion, lime",Yes,"lime, mango","Citrus Allergy, Oral Allergy Syndrome"
Lentil Curry,"lentils, coconut milk, curry powder",No,,
Green Smoothie,"spinach, honey, avocado, almond milk",Yes,"avocado, honey, spinach","Oral Allergy Syndrome, Honey Allergy, Histamine Allergy"
Stuffed Bell Peppers,"bell peppers, olive oil, ground meat, rice",Yes,"olive oil, rice","Unknown, Rice Allergy"
